Y,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14
4,8,1,2,0,7,1,1,1,5,2,2,5,2,1
5,3,0,1,0,8,1,5,4,4,2,2,2,4,1
4,4,1,2,0,2,2,3,2,1,3,2,5,2,2
1,7,2,2,0,7,2,6,3,4,2,2,4,4,C
3,8,2,4,0,6,1,2,1,4,3,3,3,1,G
3,8,2,3,0,6,2,3,2,1,5,3,3,2,X
5,8,0,2,2,4,1,3,3,5,2,2,3,4,E
3,8,1,2,0,2,2,3,1,1,3,2,3,4,B
4,7,2,3,1,5,1,3,2,2,3,2,4,1,P
3,5,1,2,0,7,1,3,1,5,3,1,5,2,5
1,8,2,2,4,5,1,1,1,3,4,4,4,1,3
4,3,1,2,0,7,1,4,3,4,3,1,5,2,5
3,7,2,2,1,4,1,1,1,5,3,1,3,2,O
3,6,1,2,0,2,1,3,2,4,2,2,1,2,1
2,6,2,2,0,7,1,1,1,5,2,1,5,2,J
4,8,2,2,0,2,1,3,1,5,4,2,3,1,Y
4,8,2,3,0,6,2,1,1,6,2,2,3,1,C
1,8,2,3,2,5,1,3,1,1,4,3,3,1,H
3,8,2,3,1,5,1,3,1,5,3,1,3,1,5
4,5,1,1,0,1,1,6,1,4,2,2,2,4,1
4,4,2,3,0,7,1,3,2,3,3,1,2,2,N
3,3,2,2,0,7,1,1,1,6,3,1,5,2,O
4,8,2,2,1,4,1,1,1,4,4,2,3,1,Y
4,8,2,2,1,4,1,3,3,6,2,2,3,1,V
3,8,1,2,0,2,1,6,6,6,3,2,3,4,P
3,4,1,1,0,1,1,3,4,6,3,2,1,2,P
3,2,1,1,0,1,1,2,2,4,3,2,2,2,B
4,7,0,1,0,8,1,6,4,1,2,2,1,4,M
1,5,2,3,0,6,2,3,1,1,5,5,3,2,W
5,3,0,1,0,8,1,5,4,3,4,2,2,4,Y
4,2,1,1,0,8,1,6,3,1,3,2,2,2,P
4,2,1,2,0,7,1,2,2,3,3,1,2,4,N
4,3,1,2,0,7,2,2,1,1,2,3,5,2,D
4,5,2,2,0,7,1,2,1,3,2,2,5,2,1
3,5,1,1,0,8,1,5,3,3,1,1,2,2,R
3,8,1,2,0,2,1,3,2,3,3,2,3,1,A
4,8,2,3,2,4,1,2,3,4,1,1,3,1,R
4,8,1,2,0,7,2,3,1,6,2,4,5,2,K
4,5,1,2,0,7,2,1,1,6,5,3,5,2,X
1,6,1,1,0,8,1,3,3,6,1,1,2,4,U
3,6,2,4,0,6,2,2,1,2,5,5,3,1,W
1,8,2,2,1,4,1,3,1,6,3,2,3,1,P
3,8,0,2,1,4,1,6,4,3,2,2,3,1,M
3,7,1,2,0,2,1,6,4,3,3,2,5,4,P
